"pop","district","GID_1","country","sex","age_group"
3332.67050198838,"Boffa","GIN.1_1","GIN","m","0"
7413.88169123232,"Boké","GIN.1_1","GIN","m","0"
1468.48900405318,"Fria","GIN.1_1","GIN","m","0"
3047.64188089967,"Gaoual","GIN.1_1","GIN","m","0"
2096.90966678783,"Koundara","GIN.1_1","GIN","m","0"
26655.2690905184,"Conakry","GIN.2_1","GIN","m","0"
4356.56792868674,"Dabola","GIN.3_1","GIN","m","0"
4481.38215678558,"Dinguiraye","GIN.3_1","GIN","m","0"
6965.66548481956,"Faranah","GIN.3_1","GIN","m","0"
6296.73246563971,"Kissidougou","GIN.3_1","GIN","m","0"
14333.7109150253,"Kankan","GIN.4_1","GIN","m","0"
5718.61815405637,"Kérouané","GIN.4_1","GIN","m","0"
8133.7445270773,"Kouroussa","GIN.4_1","GIN","m","0"
10355.3849534616,"Mandiana","GIN.4_1","GIN","m","0"
23933.6388592497,"Siguiri","GIN.4_1","GIN","m","0"
10975.3260226883,"Coyah","GIN.5_1","GIN","m","0"
2642.69711341523,"Dubréka","GIN.5_1","GIN","m","0"
3895.8231783472,"Forécariah","GIN.5_1","GIN","m","0"
7183.06142871454,"Kindia","GIN.5_1","GIN","m","0"
4365.34759441018,"Télimélé","GIN.5_1","GIN","m","0"
1875.15925280377,"Koubia","GIN.6_1","GIN","m","0"
6344.90483126789,"Labé","GIN.6_1","GIN","m","0"
3149.08209705353,"Lélouma","GIN.6_1","GIN","m","0"
5863.05012722686,"Mali","GIN.6_1","GIN","m","0"
2321.97641909122,"Tougué","GIN.6_1","GIN","m","0"
2422.14407358132,"Dalaba","GIN.7_1","GIN","m","0"
6407.88937544078,"Mamou","GIN.7_1","GIN","m","0"
5375.40323542804,"Pita","GIN.7_1","GIN","m","0"
8032.70440255105,"Beyla","GIN.8_1","GIN","m","0"
5378.2324988246,"Guéckédou","GIN.8_1","GIN","m","0"
3689.65531297773,"Lola","GIN.8_1","GIN","m","0"
5508.52064304054,"Macenta","GIN.8_1","GIN","m","0"
8782.81476607174,"Nzérékoré","GIN.8_1","GIN","m","0"
2108.24669268727,"Yamou","GIN.8_1","GIN","m","0"
14460.6230835915,"Boffa","GIN.1_1","GIN","m","1"
32135.7138715684,"Boké","GIN.1_1","GIN","m","1"
6368.92470213771,"Fria","GIN.1_1","GIN","m","1"
13209.892108798,"Gaoual","GIN.1_1","GIN","m","1"
9086.41876898706,"Koundara","GIN.1_1","GIN","m","1"
103144.450343803,"Conakry","GIN.2_1","GIN","m","1"
15601.3569650948,"Dabola","GIN.3_1","GIN","m","1"
16054.6356605738,"Dinguiraye","GIN.3_1","GIN","m","1"
24954.2758259475,"Faranah","GIN.3_1","GIN","m","1"
22555.3144903779,"Kissidougou","GIN.3_1","GIN","m","1"
42368.2394141331,"Kankan","GIN.4_1","GIN","m","1"
16906.9447761178,"Kérouané","GIN.4_1","GIN","m","1"
24045.7381231859,"Kouroussa","GIN.4_1","GIN","m","1"
30608.8015934527,"Mandiana","GIN.4_1","GIN","m","1"
70744.2311070859,"Siguiri","GIN.4_1","GIN","m","1"
56593.1532802954,"Coyah","GIN.5_1","GIN","m","1"
13646.3649300486,"Dubréka","GIN.5_1","GIN","m","1"
20121.1768844724,"Forécariah","GIN.5_1","GIN","m","1"
37095.987113595,"Kindia","GIN.5_1","GIN","m","1"
22528.9305640757,"Télimélé","GIN.5_1","GIN","m","1"
7086.10555163026,"Koubia","GIN.6_1","GIN","m","1"
23976.6768336594,"Labé","GIN.6_1","GIN","m","1"
11904.3909606189,"Lélouma","GIN.6_1","GIN","m","1"
22157.9022738636,"Mali","GIN.6_1","GIN","m","1"
8774.29933942854,"Tougué","GIN.6_1","GIN","m","1"
8985.4797571823,"Dalaba","GIN.7_1","GIN","m","1"
23772.3846275955,"Mamou","GIN.7_1","GIN","m","1"
19947.4528033957,"Pita","GIN.7_1","GIN","m","1"
27951.7619691491,"Beyla","GIN.8_1","GIN","m","1"
18716.6774963439,"Guéckédou","GIN.8_1","GIN","m","1"
12839.5411122739,"Lola","GIN.8_1","GIN","m","1"
19168.5940819681,"Macenta","GIN.8_1","GIN","m","1"
30563.1019003689,"Nzérékoré","GIN.8_1","GIN","m","1"
7336.43600796163,"Yamou","GIN.8_1","GIN","m","1"
18782.5186846852,"Boffa","GIN.1_1","GIN","m","5"
41784.9347726703,"Boké","GIN.1_1","GIN","m","5"
8276.32836180925,"Fria","GIN.1_1","GIN","m","5"
17171.6688594371,"Gaoual","GIN.1_1","GIN","m","5"
11814.2450559586,"Koundara","GIN.1_1","GIN","m","5"
100843.583960481,"Conakry","GIN.2_1","GIN","m","5"
17262.2956725359,"Dabola","GIN.3_1","GIN","m","5"
17763.604391858,"Dinguiraye","GIN.3_1","GIN","m","5"
27610.4298534244,"Faranah","GIN.3_1","GIN","m","5"
24955.3363106251,"Kissidougou","GIN.3_1","GIN","m","5"
