"GID_1","country","pop_subnational","pop_national","proportion_subnational"
"GIN.1_1","GIN",1301780.94488807,13170557.1371808,0.0988402336612713
"GIN.2_1","GIN",2065406.42746085,13170557.1371808,0.156819973972867
"GIN.3_1","GIN",1162839.29595806,13170557.1371808,0.0882908204904511
"GIN.4_1","GIN",2675882.51893283,13170557.1371808,0.203171550835822
"GIN.5_1","GIN",2171771.43838738,13170557.1371808,0.164895942955702
"GIN.6_1","GIN",1145421.20758096,13170557.1371808,0.0869683184735903
"GIN.7_1","GIN",829313.595915364,13170557.1371808,0.0629672372457344
"GIN.8_1","GIN",1818141.70805727,13170557.1371808,0.138045922364561
"LBR.10_1","LBR",206603.5819976,5110802.32237488,0.0404248822328929
"LBR.11_1","LBR",1708188.19229575,5110802.32237488,0.334230925899319
"LBR.12_1","LBR",632731.301848376,5110802.32237488,0.123802734274872
"LBR.13_1","LBR",109536.940085454,5110802.32237488,0.0214324352960993
"LBR.14_1","LBR",115039.351397289,5110802.32237488,0.0225090590754512
"LBR.15_1","LBR",136801.756178217,5110802.32237488,0.0267671781354769
"LBR.1_1","LBR",171780.344566429,5110802.32237488,0.0336112284786249
"LBR.2_1","LBR",405602.513107468,5110802.32237488,0.079361808092588
"LBR.3_1","LBR",118257.479891941,5110802.32237488,0.0231387309531058
"LBR.4_1","LBR",178663.094834747,5110802.32237488,0.0349579348926424
"LBR.5_1","LBR",279979.071864984,5110802.32237488,0.0547818237146929
"LBR.6_1","LBR",186590.694762697,5110802.32237488,0.0365090807652276
"LBR.7_1","LBR",61712.4450299505,5110802.32237488,0.0120749035351604
"LBR.8_1","LBR",365101.965411099,5110802.32237488,0.0714373091310335
"LBR.9_1","LBR",434213.589102885,5110802.32237488,0.0849599655228134
"NGA.10_1","NGA",6126035.15680901,209378744.315243,0.0292581521435891
"NGA.11_1","NGA",3088036.446952,209378744.315243,0.0147485670384125
"NGA.12_1","NGA",4522703.01108584,209378744.315243,0.0216005833155461
"NGA.13_1","NGA",3464242.08310935,209378744.315243,0.0165453379445888
"NGA.14_1","NGA",4638054.14518251,209378744.315243,0.022151504252979
"NGA.15_1","NGA",4679740.9683498,209378744.315243,0.0223506019374342
"NGA.16_1","NGA",3579332.33466762,209378744.315243,0.0170950128981505
"NGA.17_1","NGA",5866512.59301482,209378744.315243,0.0280186635572813
"NGA.18_1","NGA",6190277.8170785,209378744.315243,0.0295649772727567
"NGA.19_1","NGA",8882942.86412556,209378744.315243,0.0424252370658566
"NGA.1_1","NGA",4062962.24458734,209378744.315243,0.0194048457873551
"NGA.20_1","NGA",14341391.7175419,209378744.315243,0.0684949743320143
"NGA.21_1","NGA",8372077.96288899,209378744.315243,0.0399853289323576
"NGA.22_1","NGA",4773112.27466743,209378744.315243,0.0227965464702615
"NGA.23_1","NGA",4788918.96629672,209378744.315243,0.0228720397667801
"NGA.24_1","NGA",3409741.57135135,209378744.315243,0.0162850416478647
"NGA.25_1","NGA",13843053.4406379,209378744.315243,0.0661148937821294
"NGA.26_1","NGA",2664219.63992583,209378744.315243,0.0127244035617796
"NGA.27_1","NGA",6010874.68639771,209378744.315243,0.0287081418223985
"NGA.28_1","NGA",5651183.73913573,209378744.315243,0.0269902456317497
"NGA.29_1","NGA",4992756.02604269,209378744.315243,0.0238455724929057
"NGA.2_1","NGA",4492812.03245403,209378744.315243,0.0214578229855539
"NGA.30_1","NGA",5119798.06217139,209378744.315243,0.0244523295758378
"NGA.31_1","NGA",8516428.84195767,209378744.315243,0.0406747536375289
"NGA.32_1","NGA",4569916.74199276,209378744.315243,0.021826077699235
"NGA.33_1","NGA",7784892.10754245,209378744.315243,0.0371809093277464
"NGA.34_1","NGA",5404257.45325164,209378744.315243,0.0258109172969102
"NGA.35_1","NGA",3241869.16048398,209378744.315243,0.0154832773072847
"NGA.36_1","NGA",3570938.2979103,209378744.315243,0.0170549226932695
"NGA.37_1","NGA",4764543.92735248,209378744.315243,0.0227556237522321
"NGA.3_1","NGA",5969151.00812636,209378744.315243,0.0285088681167136
"NGA.4_1","NGA",5915567.25739633,209378744.315243,0.0282529503018214
"NGA.5_1","NGA",6958013.50683691,209378744.315243,0.0332317090237242
"NGA.6_1","NGA",2541468.99759397,209378744.315243,0.0121381423214933
"NGA.7_1","NGA",6113276.55267192,209378744.315243,0.029197216616543
"NGA.8_1","NGA",6366332.21637706,209378744.315243,0.0304058190682042
"NGA.9_1","NGA",4101308.46127501,209378744.315243,0.0195879886217105
"SLE.1_1","SLE",1742458.74602639,8004386.02918849,0.217687995015783
"SLE.2_1","SLE",2678589.7139712,8004386.02918849,0.334640246510296
"SLE.3_1","SLE",1839320.97992465,8004386.02918849,0.22978913975631
"SLE.4_1","SLE",1744016.58926624,8004386.02918849,0.21788261871761
