"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7913344879225","49.4186023255572","51.3075469164704","54.0270080383207","57.4242129922011","59.3627611034612","61.2976822419676","63.5682941291167","67.7593202959149","69.2432905138259","69.9607208026522","73.8988500811783","77.1760336164623","79.5291665376124","81.7638643095843","85.9072458683573","88.9005517213753","93.4939480775572","97.4790799341005","99.1394220436433","97.9265438600508","101.849162176143","102.036597940594","100","103.958897410193","111.060627987948","109.946912346958","106.452616082952","110.154555460963","116.867602634693","115.849306421497","110.068231312115","113.824686416737","",
"Africa Eastern and Southern","AFE","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9399610054396","35.2372159047566","37.3956793300657","41.7542348404138","46.460535051461","51.5306680318869","55.240747969765","67.6852489958384","69.1041272562328","67.6091255076128","70.1881637052383","81.8347290794015","87.8101017027032","92.0449945365142","92.5668386097134","94.8324703031589","92.7485016686198","94.9778567679371","96.9451792533579","103.267439582288","110.457895899583","113.593791422896","124.278695318734","",
"Africa Western and Central","AFW","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.28623035820158E-08","1.70953203827309E-07","9.85572146669811E-07","1.00309903780763E-05","0.000228303229991877","0.0043959676185206","0.215425784212516","0.421056205796417","0.586781184480991","3.85809281937233","19.985653515362","41.240820824305","100","193.926566906731","258.782582133226","368.439758532296","431.500673863193","450.091587891221","537.255305596086","447.199817555747","591.513296595688","779.445707940429","836.000339188437","859.74044251697","890.354809013781","859.02869588617","1046.07628909378","1282.64054748492","1643.92310662772","1959.34269601225","2170.22881322863","3012.79241091361","3425.84165656762","4030.4258649925",
"Albania","ALB","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11919982457819","4.22696015337938","14.0751288471725","31.7606428461331","43.1444433842575","47.3893825757205","54.3087066224654","60.4128121686322","64.4791139204194","65.8350129603178","69.5530265332017","72.2035931737441","74.83720210148","78.7277153097625","81.2095033428414","83.8949539363895","85.9740293615007","89.7454601747404","93.4403574357268","95.7000592931679","100","102.314743796998","103.381594575105","103.680104757091","105.287060398773","105.880870312261","105.211011366062","106.737340734897","108.309532117697","109.671009828334","110.434914958701","114.249813988865","125.521715981993","131.236823656868",
"Andorra","AND","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.2982839533219","46.3010841835154","49.408242969283","51.6500096524339","53.653956850034","56.3007714892206","56.7495887009687","58.0140605105972","58.8840125846456","60.4927117521632","77.8792564996034","80.2783543933462","82.8789971882538","85.5124642419289","88.1141159753296","91.1065613447548","94.2562828855089","97.2830664124349","99.4956124705715","99.6270821248032","100","100.196764152031","100.371664523226","100.821823609818","100.737113802681","101.402572054216","101.755245516619","102.911703389108","103.953662239379","105.382768858012","106.556507462058","109.283881502216","113.913136044284","120.588338172024",
"Arab World","ARB","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9029855720536","39.2184299337221","39.927038770888","40.4373208243503","40.3311829968387","41.9071158085909","44.3264320008857","43.9043110726747","42.0364261673541","45.5857202994423","50.8096322341048","49.6159576427597","51.4868957958011","53.5836516399235","58.1390240203789","67.747257577712","75.8512856667249","85.3584559810152","101.178240015817","85.8163681846663","100","113.16721937262","118.463134171486","117.338533638152","116.554654320206","97.5947016786959","92.1982235222969","96.795423462116","104.477832329971","101.140382628437","88.9718744115971","101.288936373193","114.701148542998","110.29307609876",
"Argentina","ARG","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3737192502697","51.4043032052253","59.6659994934379","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427165","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466431","99.9999998969317","110.317511084538","125.47629818382","144.222363056105","177.640364739783","204.957277170641","247.824346395484","306.567321408416","374.977453364052","464.780047776689","652.007262571679","825.310738210731","1164.67339673925","1467.56277769074","2084.4332574088","3109.88226850322","4356.4191087013","6701.93475654618","11357.8519058325","26559.1858237566",
