Year,AgeGroup,Male,Female
2023,<10,46,39
2023,11-20,61,86
2023,21-30,135,124
2023,31-40,118,78
2023,41-50,86,77
2023,51-60,55,34
2023,61-70,51,32
2023,>70,0,0
2022,<10,37,42
2022,11-20,69,81
2022,21-30,139,125
2022,31-40,121,97
2022,41-50,102,59
2022,51-60,50,30
2022,61-70,28,22
2022,>70,25,7
2021,<10,24,23
2021,11-20,43,52
2021,21-30,58,59
2021,31-40,53,39
2021,41-50,39,22
2021,51-60,30,14
2021,61-70,14,11
2021,>70,10,7
2020,<10,48,40
2020,11-20,91,82
2020,21-30,140,126
2020,31-40,113,79
2020,41-50,75,52
2020,51-60,42,39
2020,61-70,16,19
2020,>70,18,10
2019,<10,48,40
2019,11-20,52,62
2019,21-30,96,82
2019,31-40,99,87
2019,41-50,54,29
2019,51-60,34,27
2019,61-70,17,16
2019,>70,12,11
