"","Age","Country","GID_0","Region","GID_1","Sex","ag","WorldPop_Scaled","ag_propWithin"
"1",0,"Nigeria","NGA","Bauchi","NGA.5_1","Male","<5",149427.444761562,0.209235956868022
"2",1,"Nigeria","NGA","Bauchi","NGA.5_1","Male","<5",141182.533995657,0.197691010782994
"3",2,"Nigeria","NGA","Bauchi","NGA.5_1","Male","<5",141182.533995657,0.197691010782994
"4",3,"Nigeria","NGA","Bauchi","NGA.5_1","Male","<5",141182.533995657,0.197691010782994
"5",4,"Nigeria","NGA","Bauchi","NGA.5_1","Male","<5",141182.533995657,0.197691010782994
"6",5,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",114745.234652852,0.110427070626635
"7",6,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",114745.234652852,0.110427070626635
"8",7,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",114745.234652852,0.110427070626635
"9",8,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",114745.234652852,0.110427070626635
"10",9,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",114745.234652852,0.110427070626635
"11",10,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",93075.6085547291,0.0895729293733648
"12",11,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",93075.6085547291,0.0895729293733648
"13",12,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",93075.6085547291,0.0895729293733648
"14",13,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",93075.6085547291,0.0895729293733648
"15",14,"Nigeria","NGA","Bauchi","NGA.5_1","Male","5-14",93075.6085547291,0.0895729293733648
"16",15,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",76384.2367020351,0.116226376171361
"17",16,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",76384.2367020351,0.116226376171361
"18",17,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",76384.2367020351,0.116226376171361
"19",18,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",76384.2367020351,0.116226376171361
"20",19,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",76384.2367020351,0.116226376171361
"21",20,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",55056.2146279043,0.0837736238286389
"22",21,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",55056.2146279043,0.0837736238286389
"23",22,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",55056.2146279043,0.0837736238286389
"24",23,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",55056.2146279043,0.0837736238286389
"25",24,"Nigeria","NGA","Bauchi","NGA.5_1","Male","15-24",55056.2146279043,0.0837736238286389
"26",25,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",47119.0058748014,0.104819001205052
"27",26,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",47119.0058748014,0.104819001205052
"28",27,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",47119.0058748014,0.104819001205052
"29",28,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",47119.0058748014,0.104819001205052
"30",29,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",47119.0058748014,0.104819001205052
"31",30,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",42786.4603729167,0.0951809987949484
"32",31,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",42786.4603729167,0.0951809987949484
"33",32,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",42786.4603729167,0.0951809987949484
"34",33,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",42786.4603729167,0.0951809987949484
"35",34,"Nigeria","NGA","Bauchi","NGA.5_1","Male","25-34",42786.4603729167,0.0951809987949484
"36",35,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",35551.2022137794,0.0811580949750569
"37",36,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",35551.2022137794,0.0811580949750569
"38",37,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",35551.2022137794,0.0811580949750569
"39",38,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",35551.2022137794,0.0811580949750569
"40",39,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",35551.2022137794,0.0811580949750569
"41",40,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",30256.479412811,0.0690710321139016
"42",41,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",30256.479412811,0.0690710321139016
"43",42,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",30256.479412811,0.0690710321139016
"44",43,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",30256.479412811,0.0690710321139016
"45",44,"Nigeria","NGA","Bauchi","NGA.5_1","Male","35-49",30256.479412811,0.0690710321139016
