"","Sex","ag","n_draw","prob_symptoms_str"
"1","Female","15-24",1,0.274488735999162
"2","Female","2-14",1,0.182992490666108
"3","Female","25-34",1,0.365984981332216
"4","Female","35-49",1,0.45748122666527
"5","Female","50+",1,0.548977471998324
"6","Female","<2",1,0.091496245333054
"7","Male","15-24",1,0.274488735999162
"8","Male","2-14",1,0.182992490666108
"9","Male","25-34",1,0.365984981332216
"10","Male","35-49",1,0.45748122666527
"11","Male","50+",1,0.548977471998324
"12","Male","<2",1,0.091496245333054
"13","Female","15-24",2,0.169999457465122
"14","Female","2-14",2,0.113332971643414
"15","Female","25-34",2,0.226665943286829
"16","Female","35-49",2,0.283332429108536
"17","Female","50+",2,0.339998914930243
"18","Female","<2",2,0.0566664858217072
"19","Male","15-24",2,0.169999457465122
"20","Male","2-14",2,0.113332971643414
"21","Male","25-34",2,0.226665943286829
"22","Male","35-49",2,0.283332429108536
"23","Male","50+",2,0.339998914930243
"24","Male","<2",2,0.0566664858217072
"25","Female","15-24",3,0.224473584494434
"26","Female","2-14",3,0.149649056329623
"27","Female","25-34",3,0.299298112659246
"28","Female","35-49",3,0.374122640824057
"29","Female","50+",3,0.448947168988869
"30","Female","<2",3,0.0748245281648115
"31","Male","15-24",3,0.224473584494434
"32","Male","2-14",3,0.149649056329623
"33","Male","25-34",3,0.299298112659246
"34","Male","35-49",3,0.374122640824057
"35","Male","50+",3,0.448947168988869
"36","Male","<2",3,0.0748245281648115
"37","Female","15-24",4,0.407031651389578
"38","Female","2-14",4,0.271354434259719
"39","Female","25-34",4,0.542708868519438
"40","Female","35-49",4,0.678386085649297
"41","Female","50+",4,0.814063302779157
"42","Female","<2",4,0.135677217129859
"43","Male","15-24",4,0.407031651389578
"44","Male","2-14",4,0.271354434259719
"45","Male","25-34",4,0.542708868519438
"46","Male","35-49",4,0.678386085649297
"47","Male","50+",4,0.814063302779157
"48","Male","<2",4,0.135677217129859
"49","Female","15-24",5,0.192140359951332
"50","Female","2-14",5,0.128093573300888
"51","Female","25-34",5,0.256187146601776
"52","Female","35-49",5,0.32023393325222
"53","Female","50+",5,0.384280719902664
